question,answer_agent,answer_orig,tool_calls,cost,document
What’s the usual weekly workflow for this course after watching the videos?,"A typical weekly workflow for the course is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

If you want, I can also point you to the main course repo and docs to follow each week.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""usual weekly workflow after watching the videos weekly workflow course videos""}'}]",0.00124125,04919992b3
"Do I need to start on a specific date, or can I jump in whenever I want?","You can **start whenever you want** — the course materials and videos are available for self-paced learning.

A couple of important caveats:
- **Homework can only be submitted while the course form is open.**
- If you want a **certificate**, you need to finish with the **live cohort**, not fully self-paced.

If you want, I can also tell you the recommended weekly workflow for starting the course.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""start specific date jump in whenever want self-paced course enrollment start date""}'}]",0.001461,04919992b3
Where are the deadlines and homework submissions handled for LLM Zoomcamp?,"For **LLM Zoomcamp**, deadlines and homework submissions are handled in the **course management platform**:

- **Course platform:** https://courses.datatalks.club/llm-zoomcamp-2026/
- It contains the **deadlines**, **homework submission form**, and **progress tracking**.

You can also find the **homework instructions** in the course GitHub repo, but **submission and deadlines are managed on the platform**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp deadlines homework submissions handled where""}'}]",0.00137625,04919992b3
"Is the homework basically the same as the lesson notebooks, or is it different?","The homework usually **follows the lesson workflow**, but it’s often **not exactly the same** as the lesson notebooks.

In practice, it may:
- use a **different dataset**,
- ask you to apply the **same idea in a slightly different way**,
- or include extra instructions in the **GitHub homework file**.

So the lesson notebooks are a good guide, but you should check the **GitHub homework instructions** too, since they often contain important extra context.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""homework lesson notebooks same different homework notebooks""}'}]",0.00148725,04919992b3
How do I find my name on the leaderboard if I can't see it right away?,"If you can’t see your name right away on the leaderboard, click **“Jump to your record on the leaderboard”** — that takes you directly to your entry.

Also, when you set up your account, you’re automatically given a random display name. If you want to check or change it, go to **Edit Course Profile**:
- **First field:** your public nickname/display name
- **Second field:** your official name for the certificate

If you want, I can also explain how the leaderboard name differs from the certificate name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""find my name on the leaderboard can\'t see it right away""}'}]",0.00189075,c2903069a0
"Why am I showing up under a random name on the leaderboard, and can I change it?","Yes — that random name is your **default public display name** on the leaderboard. It’s assigned automatically when you create your account.

You can change it in **Edit Course Profile**:
- **First field:** your **leaderboard/display name** — change this to whatever nickname you want to appear publicly
- **Second field:** your **official name** for the certificate

So if you want, you can replace the random nickname with your Slack/GitHub name or any other nickname, while keeping your real name for the certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""leaderboard random name change it profile display name alias leaderboard name""}'}]",0.00153975,c2903069a0
Where do I check what display name I'm using in the course profile?,"Go to **Edit Course Profile**. Your **display name / nickname** is the **first field** there.

If you’re checking the leaderboard, that’s the name shown publicly by default.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""display name course profile where check what display name I\'m using""}'}]",0.00131475,c2903069a0
What should I do if I want my Slack or GitHub name to appear instead of the random one?,"Go to **Edit Course Profile** and change the **first field** (your display name / nickname). You can set it to your **Slack username, GitHub username, or any nickname** you want.

The **second field** is for your **official name** and is used for your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""Slack GitHub name appear instead of random one""}'}]",0.001314,c2903069a0
How do I make sure my real name is used on the certificate instead of the default name?,"To make sure your real name appears on the certificate, go to **Edit Course Profile** and set the **second field** to your official name exactly as it appears on your ID/passport.

A few notes:
- The **first field** is your public display name / leaderboard nickname.
- The **second field** is the name printed on your **certificate**.
- If you leave it as the default random name (like “Lucid Elbakyan”), that default name may appear on the certificate.

So the key step is: **update the certificate name field before the certificate is generated**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""certificate real name default name change name used on certificate""}'}]",0.00157875,c2903069a0
"Can I take the course at my own pace and still get the certificate, or is it only for the live cohort?","No — you can only get a certificate if you finish the course with a live cohort.

The FAQ says certificates are **not** awarded for self-paced mode, because you need to peer-review 3 capstones after submitting your project, and that peer-review process is only available while the course is running live.

If you want, I can also explain what the certificate requirements are in more detail.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""self-paced own pace certificate live cohort certificate live cohort FAQ""}'}]",0.001299,69d122f12e
"If I finish everything in self-paced mode, will I still receive a certificate?","No — you can’t get a certificate in self-paced mode.

The FAQ says certificates are only awarded if you finish the course with a live cohort, because the certificate requires peer-reviewing capstones while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""self-paced mode certificate finish everything receive a certificate""}'}]",0.00101025,69d122f12e
Why don’t you give certificates for the self-paced version of the course?,"We don’t give certificates for the self-paced version because certificates require peer-reviewing 3 capstone projects, and that’s only possible while the live cohort is running.

Once the course ends, the peer-review form closes and the review list is compiled, so self-paced learners can’t complete that requirement.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""self-paced version certificates why not give certificates FAQ""}'}]",0.0012045,69d122f12e
Do I need to peer-review other students’ capstone projects to be eligible for the certificate?,"Yes. For the certificate, you’re expected to peer-review 3 capstone projects after submitting your own project.

A few important notes:
- This is required for the certificate.
- You can only review projects while the course is actively running.
- After the submission deadline, projects are assigned to you for review; you can’t choose them yourself.

If you want, I can also summarize the full certificate requirements.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""peer-review other students capstone projects eligible for certificate""}'}]",0.00116175,69d122f12e
"Can I do the project reviews after the course ends, or is that only possible while the cohort is running?","No — you can only do the peer project reviews while the course is running with a live cohort. After the review form closes and the peer-review list is compiled, you can’t complete them, so self-paced participation doesn’t qualify for a certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""project reviews after course ends cohort running""}'}]",0.00102375,69d122f12e
"If I skip the first homework, can I still earn the course certificate as long as I do the capstone?","Yes. According to the FAQ, homework is **not mandatory** for the certificate — you can still earn it as long as you **pass the Capstone project**.

One note: this applies to the **live cohort** version of the course, since certificates aren’t awarded for self-paced participation.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""skip first homework still earn course certificate capstone only homework certificate""}'}]",0.001152,9f689c185f
"Do I have to complete every homework to get a certificate, or is the capstone enough?","No — you do **not** have to complete every homework to get a certificate.

For **llm-zoomcamp**, the FAQ says:

- **Homework is not mandatory**
- You **only need to pass the Capstone project** to get the certificate
- Homework points are mainly for your **leaderboard rank** and practice

So the **capstone is enough** for the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate homework capstone enough complete every homework required FAQ""}'}]",0.00125175,9f689c185f
What do I actually need to pass in order to receive the certificate for this course?,"To get the certificate, you need to **pass the Capstone project**.

A few important notes:
- **Homework is not mandatory** for the certificate, though it’s recommended.
- You also need to finish the course with a **live cohort** — **self-paced mode does not award certificates**.
- Since the course requires **peer-reviewing 3 capstone projects**, you can only get the certificate while the course is actively running.

If you want, I can also summarize the exact certificate workflow step by step.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate requirements pass receive certificate course what needed to pass""}'}]",0.00126075,9f689c185f
"Are homework assignments mandatory for certification, or are they just for practice and leaderboard points?","Homework assignments are **not mandatory for certification**. You only need to **pass the Capstone project** to get the certificate.

Homework is mainly for:
- **practice / reinforcing concepts**
- **earning points toward the leaderboard**

So yes — they’re optional for certification, but useful for learning and ranking.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework assignments mandatory certification practice leaderboard points""}'}]",0.00122025,9f689c185f
"If homework isn't required, what role does it play in the course besides helping me learn?","I couldn’t find an FAQ entry that directly answers that.

The closest homework-related guidance in the FAQ says homework is **not ready** until the form is open and the title no longer has `[DRAFT]`, and that working on it early is **at your own risk** because the final version may change.

If you want, I can help interpret the course policy more generally, but based on the FAQ search results, there isn’t a specific answer about homework’s role beyond learning.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework not required role in course besides helping me learn""}'}]",0.00140925,9f689c185f
Why does the homework content keep changing before it’s out?,"If the homework title contains `[DRAFT]`, it means it’s not ready yet, so the content can still change.

The homework is considered ready only when both are true:

- The homework form is open on the course management platform
- The homework title does **not** contain `[DRAFT]`

Until then, please treat the material as subject to change. Working on it early is possible, but it’s at your own risk because the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework content keep changing before it’s out""}'}]",0.0014175,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,"If the homework title contains `[DRAFT]`, it means the homework is **not ready yet**.

The homework is considered ready only when:

- the homework form is open on the course platform, and
- the title no longer contains `[DRAFT]`.

Until then, the content may still change, so doing it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework title [DRAFT] meaning""}'}]",0.00131475,96286b4be4
How can I tell if a homework is actually ready to do?,"A homework is ready only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain **`[DRAFT]`**.

If the title still says `[DRAFT]`, the homework is not ready yet and the content may still change. Working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""How can I tell if a homework is actually ready to do?""}'}]",0.00141,96286b4be4
Can the homework still change even if it’s already visible on the platform?,"Yes — if the homework is still marked as **`[DRAFT]`**, it can still change even if it’s already visible on the platform.

The homework is considered **ready only when both are true**:
- the homework form is open on the course management platform, and
- the homework title **does not** contain **`[DRAFT]`**.

So if you see it but it’s still a draft, you should treat it as subject to change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework visible on platform still change assignment can change after posted""}'}]",0.00129375,96286b4be4
"Is it safe to start the homework early, or could the final version be different?","Yes—working on homework early is **at your own risk**.

If the homework title includes **`[DRAFT]`**, it is **not ready yet**, and the final version can still change. The homework is only considered ready when:

- the homework form is open on the course management platform, and
- the homework title **does not** contain `[DRAFT]`.

So it’s safe only once those two conditions are met.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""start homework early final version different safe homework early final version different""}'}]",0.00146925,96286b4be4
When is the next llm-zoomcamp course starting?,The FAQ says the next **LLM Zoomcamp** will be offered in **summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next llm-zoomcamp course starting date""}'}]",0.00092625,bd31146b0e
