question,answer_llm,answer_orig,document
"Is the homework basically the same as the lesson notebooks, or is it different?","Homework is similar to the lesson notebooks, but it’s not exactly the same. It usually uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my name on the leaderboard if I can't see it right away?,"Click the **""Jump to your record on the leaderboard""** link — it will take you directly to your entry, even if you can’t spot it right away.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why am I showing up under a random name on the leaderboard, and can I change it?","When you set up your account, you’re automatically given a random public display name for the leaderboard, like “Lucid Elbakyan.” That’s why you appear under a random name.

Yes, you can change it:
- Open **Edit Course Profile**
- The **first field** is your public nickname/display name for the leaderboard
- The **second field** is your official name for your certificate

So if you want, you can replace the random leaderboard name with a nickname of your choice.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where do I check what display name I'm using in the course profile?,Click **“Edit Course Profile”** and check the **first field** — that is your **display name / public nickname** used on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What should I do if I want my Slack or GitHub name to appear instead of the random one?,"You can change it in **Edit Course Profile**.

- The **first field** is your public nickname/display name.
- Put your **Slack username, GitHub username, or any other nickname** there if you want that to appear instead of the random name.

If you want, I can also explain which field affects the certificate name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How do I make sure my real name is used on the certificate instead of the default name?,"Go to **Edit Course Profile** and set the **second field** to your official real name, exactly as it appears on your ID/passport. That is the name printed on the certificate.

The first field is just your public leaderboard nickname, so you can keep that separate. If you leave the second field as the default, the certificate may show “Lucid Elbakyan” instead.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I take the course at my own pace and still get the certificate, or is it only for the live cohort?",No — you can only get a certificate if you finish the course with a live cohort. Self-paced mode does not qualify for a certificate because the certificate requires peer-reviewing 3 capstone projects while the course is running.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I finish everything in self-paced mode, will I still receive a certificate?",No. You can only get a certificate if you finish the course with a live cohort; self-paced mode does not award certificates.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why don’t you give certificates for the self-paced version of the course?,"We don't award certificates for the self-paced mode because you need to peer-review 3 capstone projects after submitting your project, and that can only happen while a live cohort is running. After the course ends, the peer-review form is closed and the review list is compiled, so self-paced participants can’t complete that requirement.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to peer-review other students’ capstone projects to be eligible for the certificate?,"Yes. To get the certificate, you need to peer-review 3 other students’ capstone projects after submitting your own. If you don’t comply, you may fail to achieve the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Can I do the project reviews after the course ends, or is that only possible while the cohort is running?","Only while the course is running. You can peer-review projects at the time the form is open and the peer-review list is compiled; after the course ends, you can’t do those reviews.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I skip the first homework, can I still earn the course certificate as long as I do the capstone?",Yes. Homework is not mandatory for the certificate. You can still earn the course certificate as long as you pass the Capstone project.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do I have to complete every homework to get a certificate, or is the capstone enough?","No — you do **not** have to complete every homework to get a certificate. The **Capstone project is enough**.

Homework is **not mandatory**; it’s mainly recommended for practice and for leaderboard points.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually need to pass in order to receive the certificate for this course?,"You need to pass the **Capstone project** to get the certificate. Homework is **not mandatory**.

Also, you can only receive a certificate if you finish the course with a **live cohort** — not in self-paced mode.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Are homework assignments mandatory for certification, or are they just for practice and leaderboard points?","Homework assignments are **not mandatory for certification**. You only need to **pass the Capstone project** to get the certificate.

Homework is mainly for **practice/reinforcing concepts**, and the points you earn from it count toward your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn't required, what role does it play in the course besides helping me learn?",I don't know.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before it’s out?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is only ready when both are true:

- the homework form is open on the course management platform
- the homework title does not contain `[DRAFT]`

Until then, the content can still change. Working on it in advance is at your own risk, because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when the homework title has [DRAFT] in it?,It means the homework is not ready yet.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework is actually ready to do?,"A homework is ready only when **both** are true:

- The homework form is open on the course management platform.
- The homework title **does not** contain `[DRAFT]`.

If the title still has `[DRAFT]`, it’s not ready yet and the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the homework still change even if it’s already visible on the platform?,"Yes. Even if the homework is already visible on the platform, it can still change until it is finalized. It’s only ready when:

- the homework form is open, and
- the homework title does **not** contain `[DRAFT]`.

If it still says `[DRAFT]`, the content may change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is it safe to start the homework early, or could the final version be different?","Yes — it’s okay to start early, but it’s at your own risk because the final homework version could still change. If the homework is marked `[DRAFT]`, it is not ready yet and can be updated until:

- the homework form is open on the course management platform, and
- the title no longer contains `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next llm-zoomcamp course starting?,I don't know.,Summer 2027.,bd31146b0e
Do you know when this course will be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
What’s the next session date for llm-zoomcamp?,I don't know.,Summer 2027.,bd31146b0e
When can I expect the course to run next?,Summer 2027.,Summer 2027.,bd31146b0e
"Is there a planned next offering of the course, and when is it?",Yes — the next planned offering is **Summer 2027**.,Summer 2027.,bd31146b0e
Where can I find the course videos for LLM Zoomcamp?,You can find the course videos in the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp). Open the lesson folders there—each lesson page has the relevant videos linked at the top.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place I should open first to get the lecture links?,"Yes — use the **LLM Zoomcamp GitHub repository** as the main entry point first. Each lesson folder has the lecture/video links at the top. If in doubt, follow the GitHub repo before the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I know which videos go with each lesson in the repo?,"Open the **LLM Zoomcamp GitHub repository** and go into the **lesson folders**. Each lesson page has the relevant videos linked at the top. If you’re unsure, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Do the lesson pages already include the relevant lecture videos?,Yes. Each lesson page has the relevant videos linked at the top.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the latest course lectures?,"Use the **GitHub repo** as the main source. The context says it’s easier to keep updated than the YouTube playlist, so that’s the best place to find the latest lectures.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I follow the LLM Zoomcamp syllabus and see the deadlines and homework in one place?,"Use the **LLM Zoomcamp course management platform** to see the syllabus, deadlines, homework, and progress in one place:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course page or platform where I can track my LLM Zoomcamp progress?,"Yes — you can track your LLM Zoomcamp progress on the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What’s the best place to check the current cohort structure for LLM Zoomcamp?,"The best place to check the current cohort structure is the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Where should I look if I want the homework and deadline schedule for this zoomcamp?,"Look at the **LLM Zoomcamp course management platform** for the **syllabus, deadlines, homework, and progress**:

https://courses.datatalks.club/llm-zoomcamp-2026/

You can also find homework instructions in the course **GitHub repo**, but for the **homework and deadline schedule**, the course platform is the right place.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Does LLM Zoomcamp use the same course management platform as the other DataTalks.Club Zoomcamps?,Yes. The LLM Zoomcamp course management platform is the same kind of platform/process used in other DataTalks.Club Zoomcamps.,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Does this course have live sessions or office hours for every module, or is everything just prerecorded?","No separate live sessions for every module by default. The module materials are prerecorded and available in the course repo.

Live sessions are announced separately when they happen. If you get stuck, you should ask in Slack and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck while going through a module, where should I ask for help?","Ask in Slack and include the code or command output as text, not a screenshot. Follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are live sessions for the course scheduled in advance, or do they only get announced when available?",Live sessions are **announced separately when they happen**; they are **not scheduled in advance for every module by default**. The course materials themselves are pre-recorded and available in the repo.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"What is AI Shipping Labs, and is it required if I want extra support and Zoom office hours?","AI Shipping Labs is a **paid community** that provides **regular Zoom office hours** and additional structure for extra support.

It is **optional**, not required. The free DataTalks.Club course content remains available whether or not you join AI Shipping Labs.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
